backbone,layer_depth,sae_arch,saebench_status,proxy_loss_recovered,proxy_mse_reduction_vs_zero,proxy_mean_l0,proxy_dead_fraction,proxy_absorption_fraction,proxy_label_purity_top20,core_mean_l0,core_mean_l1,core_mse,core_mse_loss_recovered_vs_zero,core_explained_variance,core_explained_variance_legacy,core_cossim,core_l2_ratio,sparse_probe_f1_backbone,sparse_probe_f1_sae_latents,sparse_probe_f1_sae_topk,sparse_probe_f1_backbone_weighted,sparse_probe_f1_sae_latents_weighted,sparse_probe_f1_sae_topk_weighted,sparse_probe_f1_backbone_core_classes,sparse_probe_f1_sae_latents_core_classes,sparse_probe_num_classes,sparse_probe_num_images,sparse_probe_num_train_images,sparse_probe_top_k,sparse_probe_split,sparse_probe_landforms_only,sparse_probe_min_per_class_report,sparse_probe_eval_splits,sparse_probe_supp_f1_backbone,sparse_probe_supp_f1_sae_latents,sparse_probe_supp_f1_sae_topk,sparse_probe_supp_f1_backbone_weighted,sparse_probe_supp_f1_sae_latents_weighted,sparse_probe_supp_f1_sae_topk_weighted,sparse_probe_supp_f1_backbone_core_classes,sparse_probe_supp_f1_sae_latents_core_classes,sparse_probe_supp_num_classes,sparse_probe_supp_num_images,sparse_probe_supp_num_train_images,sparse_probe_supp_top_k,sparse_probe_supp_split,sparse_probe_supp_landforms_only,sparse_probe_supp_min_per_class_report,sparse_probe_supp_eval_splits,dead_fraction,loss_recovered,ablation_tag,protocol,dictionary_multiplier,preprocess_mode,aux_loss_weight,mono_mean_purity_top20_official,mono_median_purity_top20_official,mono_mean_purity_top20_legacy_denom,mono_fraction_high_purity_top20,mono_top_k,mono_n_test_images,tcav_mean_max_cos_per_class,tcav_median_max_cos_per_class,tcav_max_cos_any_class,tcav_mean_cos_all_pairs,dec_ortho_mean,dec_ortho_p95,mono_ms_mean,mono_ms_median,mono_ms_top10,mono_ms_n_live,geo_hier_mean,geo_hier_median,geo_hier_frac_positive,geo_hier_n_live,ood_gap,ood_gap_backbone,spatial_cons_mean,spatial_cons_std,spatial_cons_n_live
dinov3_sat493m,late,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9903041510684956,0.7183740918251946,40.0,0.1279296875,0.7755,0.6044792833146696,40.0,117.86153411865234,0.3225486278533935,0.7183434133139021,0.6797056198120117,0.6592580676078796,0.8176512718200684,0.8183947205543518,0.8225017594233106,0.8315362963367166,0.5185042715721793,0.8920810687134977,0.9058869730294924,0.6243750901331196,0.9121649890725522,0.9146270053475936,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.7435546269950819,0.7431180659804763,0.5218378399656405,0.8604743442876479,0.8694766967560147,0.6510996197494541,0.7435546269950819,0.7431180659804763,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.1279296875,0.9903041510684956,late_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.593505039193729,0.55,0.5938097224705485,0.2273236282194848,20.0,311.0,0.1881172720875059,0.1764471977949142,0.2442436516284942,-0.0010851274874507,0.0069481660611927,0.0839082449674606,0.2779998298085733,0.2503795921802521,0.6410194198290508,893.0,-0.0117581187010078,0.0,0.019036954087346,893.0,0.0884182303562403,0.0789471324282287,4.86102796543205,0.4210751340545964,893.0
dinov3_sat493m,late,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9732025800474904,0.7177944353269213,40.0,0.349609375,0.7511,0.581281247615742,40.0,119.36395263671876,0.3166444897651672,0.7177703915493254,0.6855951547622681,0.6652623414993286,0.821372389793396,0.8326601386070251,0.8225017594233106,0.7497481839312284,0.546573264844583,0.8920810687134977,0.8265329424319483,0.5902389945463696,0.9121649890725522,0.7914121633860726,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.7435546269950819,0.7708815826934828,0.4641183962155529,0.8604743442876479,0.8516989566442382,0.6190677555733224,0.7435546269950819,0.7708815826934828,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.349609375,0.9732025800474904,late_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5746601208459213,0.55,0.571784153170479,0.2009063444108761,20.0,311.0,0.3248807404722486,0.3298782110214233,0.4431760907173157,0.0007173482041277,0.0011664713965728,0.0646481812000274,0.2642312922129503,0.2191092446446418,0.6360491442501097,1324.0,-0.0319108761329305,0.0,0.0188821752265861,1324.0,-0.0211333987622543,0.0789471324282287,4.629530866691897,0.5939492402915847,1324.0
satmae_pp,middle,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,1.0009517108967547,0.8888637825193881,40.0,0.5390625,0.7317,0.4938559322033898,40.0,114.69414520263672,0.1348015367984771,0.8888614978750656,0.8644809722900391,0.781001627445221,0.8867180943489075,0.8861579895019531,0.6343679820735008,0.6920223379267024,0.509926745941447,0.6589428991704235,0.7247664223757454,0.5844800586974608,0.6431287250384023,0.7158398201059304,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6300746782740584,0.6867478932190557,0.3902123077203146,0.7513600236500273,0.7775518966433007,0.5328679265440328,0.6300746782740584,0.6867478932190557,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.5390625,1.0009517108967547,middle_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.521292372881356,0.5,0.5218220338983051,0.1144067796610169,20.0,311.0,0.2984286248683929,0.2840149402618408,0.4606774449348449,0.0003912854693583,0.0033966663759201,0.0631198585033416,0.3565442514471647,0.2913285493850708,0.8623261501391729,472.0,-0.0145656779661016,0.0,0.0042372881355932,472.0,0.0052744447076467,0.0042933037994423,4.762288456751661,0.6285757177203163,472.0
satmae_pp,middle,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9926097934304472,0.8851092012928486,39.99997965494792,0.73681640625,0.6924,0.4913729128014842,39.999977111816406,113.3527603149414,0.1335443258285522,0.8851067037524768,0.8657242059707642,0.7833655476570129,0.8880573511123657,0.8922000527381897,0.6478234152814538,0.6404821577753909,0.436904090398565,0.6640588103462585,0.6615649520371132,0.5084382061273804,0.6455920625236888,0.6393650793650794,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6299518381949046,0.6809612024935773,0.3869127937287948,0.7492402640671505,0.7773357578531549,0.5384416832524664,0.6299518381949046,0.6809612024935773,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.73681640625,0.9926097934304472,middle_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5175373134328358,0.5,0.5179601867863588,0.1026119402985074,20.0,311.0,0.3161354128803526,0.3026582896709442,0.4759675860404968,0.0002943820449599,0.0004544680414255,0.0548083819448947,0.3340121365250905,0.2558071911334991,0.8538045353359647,536.0,-0.0205223880597014,0.0,0.003731343283582,536.0,-0.0404790447181864,0.0178715770865491,4.7329359588532975,0.6058354621374717,536.0
satmae_pp,late,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9950117443609268,0.8463775436603095,40.0,0.3798828125,0.6696,0.5281102362204725,40.0,111.98480987548828,0.1750657260417938,0.8463799662247967,0.8243669867515564,0.7519576549530029,0.8720077872276306,0.8725544810295105,0.6379435333127449,0.6547299919214249,0.4479173570798545,0.6683185902869672,0.6723020525369185,0.5031805229721181,0.6569507338718854,0.6481715985004742,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6621820646802096,0.720045529742791,0.3634757951368236,0.7825108794287999,0.8175936845074128,0.52807937484907,0.6621820646802096,0.720045529742791,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.3798828125,0.9950117443609268,late_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.544794952681388,0.5,0.5445977917981072,0.1514195583596214,20.0,311.0,0.2851463045392717,0.2949361205101013,0.4129524528980255,-4.600882708213509e-05,0.005008936394006,0.0702268406748771,0.3348333023452532,0.2768280506134033,0.805414323695004,634.0,-0.0203075709779179,0.0,0.0078864353312302,634.0,-0.0653155378213661,-0.0242385313674646,4.7126425602954285,0.6123456906456265,634.0
satmae_pp,late,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.982855144378871,0.8448705614673235,40.0,0.60498046875,0.6627,0.5292130201895344,40.0,112.65812683105467,0.1724693775177002,0.8448714701771911,0.8274810910224915,0.7563451528549194,0.8744229674339294,0.8807470202445984,0.6368906471967845,0.7025484964162703,0.4688181125464607,0.6648342098948428,0.7283320151407229,0.4974372473087347,0.6525164712928896,0.705920836159249,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6674893810488995,0.7326177565914539,0.3858449011832299,0.782407056902065,0.8230823142241325,0.5222450862423025,0.6674893810488995,0.7326177565914539,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.60498046875,0.982855144378871,late_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5426708074534162,0.5,0.5418583427140626,0.1453416149068323,20.0,311.0,0.3000114730426243,0.3110944330692291,0.3991858065128326,0.0001057194590186,0.0008162889862433,0.0574111863970756,0.3165762016595983,0.2632291913032532,0.7732760199794063,805.0,-0.026863354037267,0.0,0.0062111801242236,805.0,-0.0300692601751836,-0.030598733852115,4.594465706806926,0.729129204341243,805.0
croma,middle,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9986819300642078,0.9884004337541388,40.0,0.7630208283662796,0.9994,0.4884615384615385,40.0,113.71620178222656,0.0132115753367543,0.988415315465671,0.9869961142539978,0.9809667468070984,0.9912567138671876,0.9908208250999452,0.6063701582862795,0.6030327001826385,0.5308354738811493,0.6581370622175264,0.6622721340780958,0.5953381475989495,0.6357603268639492,0.6381482192800843,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.5144595559751755,0.5188805948223237,0.4066617223719298,0.636176925284086,0.6458734427037927,0.5462386890680263,0.5144595559751755,0.5188805948223237,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.7630208283662796,0.9986819300642078,middle_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.5306629834254143,0.5,0.5306629834254143,0.0939226519337016,20.0,311.0,0.1912015889372144,0.1784019470214843,0.2467695474624633,0.0001445667039336,0.0006694984622299,0.0689112171530723,0.5263013755561763,0.5276055335998535,0.9659961901212992,181.0,-0.0013812154696132,0.0,0.0,181.0,0.0841521053603148,0.091910602311104,5.318981685995211,0.2800453735250495,181.0
croma,middle,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9984164234581292,0.9880836972211898,40.0,0.8815104141831398,0.9996,0.5010989010989011,40.0,115.80663299560548,0.0133727649226784,0.9880988891783684,0.986822783946991,0.9807873964309692,0.9911658763885498,0.9915013909339904,0.6060914331890518,0.5794855424293227,0.4791340983970888,0.6573893355979747,0.6190233177544654,0.5249485539726878,0.6353701117278305,0.593433605554898,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.5148199807092525,0.4759559031472624,0.3606236226770707,0.6360260864996319,0.5936193337804034,0.5055755194985185,0.5148199807092525,0.4759559031472624,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.8815104141831398,0.9984164234581292,middle_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5290502793296089,0.5,0.5298882681564245,0.0837988826815642,20.0,311.0,0.3198790677956172,0.3062045276165008,0.3826785981655121,-3.4324570319335004e-05,0.0004052658041473,0.0632585436105728,0.5092388251783357,0.4837369918823242,0.960913340250651,179.0,-0.0013966480446927,0.0,0.0,179.0,0.1035296392820603,0.0912714524797992,5.294735523057657,0.4816491539029748,179.0
croma,late,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9982238681951064,0.9841959544428688,40.0,0.7265625,0.9969,0.5095238095238095,40.0,109.08358001708984,0.0176999103277921,0.9842118931003118,0.9825594425201416,0.9752004742622375,0.9885029792785645,0.9883931279182434,0.6118912559603539,0.6195964659159399,0.5169121245893329,0.6599795462920149,0.6548668609367713,0.573838085692974,0.6255501973688855,0.625329789124421,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.5526835255387795,0.5443346904645128,0.4170326320883235,0.6575498186522377,0.6498244635224038,0.5326800088963971,0.5526835255387795,0.5443346904645128,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.7265625,0.9982238681951064,late_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.5423444976076555,0.5,0.5437799043062201,0.124401913875598,20.0,311.0,0.2140009445803506,0.20913165807724,0.2717968821525574,-2.809868525825247e-05,0.001099418499507,0.070487767457962,0.5281660256742469,0.5560704469680786,0.9620820766403562,209.0,-0.0035885167464114,0.0,0.0,209.0,0.0752617754514271,0.0592077304215743,5.272732890600088,0.5893774619005999,209.0
croma,late,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9980040963809704,0.9839997245522092,40.0,0.87109375,0.9933,0.4787878787878787,40.0,113.54694366455078,0.0181712545454502,0.9840154934536328,0.982122242450714,0.9747077822685242,0.9882705807685852,0.988184094429016,0.6147362614077156,0.5874647857324488,0.535990192616599,0.6635043518348914,0.6450586548997728,0.5753792061571704,0.6295332049951923,0.6169961545708826,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.551455749092581,0.5320715862173206,0.3763800310721458,0.6572648189631647,0.6437915877728906,0.5210699719052944,0.551455749092581,0.5320715862173206,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.87109375,0.9980040963809704,late_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5309644670050762,0.5,0.5309644670050762,0.0812182741116751,20.0,311.0,0.3431859910488128,0.3287726640701294,0.4342438280582428,-8.636266559982513e-05,0.000268323929049,0.0631674379110336,0.5317388949868491,0.5057226419448853,0.9575326651334762,197.0,-0.0025380710659898,0.0,0.0,197.0,0.0553931995151281,0.0632805123151346,5.332673669585683,0.2618999153740332,197.0
