backbone,layer_depth,sae_arch,ablation_tag,dictionary_multiplier,aux_loss_weight,dead_fraction,dead_ok,core_explained_variance,core_ev_ok,sparse_probe_f1_sae_latents,sparse_probe_f1_backbone,sparse_probe_supp_f1_sae_latents,mono_mean_purity_top20_official,mono_median_purity_top20_official,mono_mean_purity_top20_legacy_denom,mono_fraction_high_purity_top20,mono_top_k,mono_n_test_images,tcav_mean_max_cos_per_class,tcav_median_max_cos_per_class,tcav_max_cos_any_class,tcav_mean_cos_all_pairs,dec_ortho_mean,dec_ortho_p95,mono_ms_mean,mono_ms_median,mono_ms_top10,mono_ms_n_live,geo_hier_mean,geo_hier_median,geo_hier_frac_positive,geo_hier_n_live,ood_gap,ood_gap_backbone,spatial_cons_mean,spatial_cons_std,spatial_cons_n_live
mars_orbital_vit,middle,matryoshka,middle_matryoshka_d2_perdim_aux1p0,2,1.0,0.4264323115348816,False,0.7826268672943115,True,0.7623513778542207,0.7680878725410293,0.7196174604171217,0.5772675086107922,0.55,0.5772611754370471,0.1917336394948335,20.0,311.0,0.3194034142153604,0.3122831284999847,0.3709176182746887,0.0009654745056303,0.0004807607328984,0.0733875855803489,0.2868238873159605,0.2474670261144638,0.6680724525993521,871.0,-0.0373134328358208,0.0,0.0149253731343283,871.0,0.0427339174370989,0.0616971293150412,5.047779716165891,0.6010108804404688,871.0
mars_orbital_vit,middle,topk,middle_topk_d1_perdim_aux1p0,1,1.0,0.1484375,True,0.7797681093215942,True,0.7304490333708651,0.7846117235044996,0.7203210124251196,0.5892966360856269,0.55,0.5898063200815494,0.2140672782874617,20.0,311.0,0.3221999449389321,0.3002052307128906,0.4049218297004699,0.0014422182594747,0.003545660059899,0.094176672399044,0.3047099069803269,0.2607682347297668,0.689181159843098,654.0,-0.0168195718654434,0.0,0.0122324159021406,654.0,0.0101280209457454,0.0809345199211726,5.193589845580305,0.431472537792358,654.0
momo,late,matryoshka,late_matryoshka_d2_perdim_aux1p0,2,1.0,0.8444010466337204,False,0.9513057470321656,True,0.6147348525229491,0.7226584257597172,0.6162504084302352,0.5156903765690375,0.5,0.5169456066945606,0.1129707112970711,20.0,311.0,0.2990308212382452,0.2908408641815185,0.3445706963539123,0.0004939939936624,0.0002832787577062,0.0627181753516197,0.2654740391383152,0.1815483719110489,0.8997448061903318,239.0,-0.0094142259414225,0.0,0.0,239.0,-0.001515555907286,0.0709740530090741,4.113132838569781,1.1657904383867188,239.0
momo,late,topk,late_topk_d1_perdim_aux1p0,1,1.0,0.6549479067325592,False,0.9524259567260742,True,0.7250605307519127,0.7134571426846751,0.6713923691539003,0.5234848484848484,0.5,0.5193367869504234,0.1022727272727272,20.0,311.0,0.2730268580572946,0.2613725960254669,0.3319168984889984,0.0005515097026047,0.0013624138664454,0.0689376667141914,0.2666536361919663,0.1758138984441757,0.8935491663438303,264.0,-0.012310606060606,0.0,0.0,264.0,0.0536681615980123,0.0539675715581587,4.097819627476498,1.1333068920783018,264.0
momo,middle,matryoshka,middle_matryoshka_d2_perdim_aux1p0_full,2,1.0,0.83984375,False,0.9391050934791564,True,0.7022469603329969,0.6889065221028933,0.6626830624496493,0.5118110236220472,0.5,0.512551785806186,0.1023622047244094,20.0,311.0,0.2826283425092697,0.2720227539539337,0.391082227230072,0.000223389219389,0.0003494247794151,0.0625695660710334,0.2601950575824915,0.1733542904257774,0.8473903307547936,254.0,-0.0088582677165354,0.0,0.0,254.0,0.0395638978833476,0.0427916162089128,4.278329872758123,1.1098331419709773,254.0
momo,middle,topk,middle_topk_d1_perdim_aux1p0_full,1,1.0,0.6458333432674408,False,0.9404173493385316,True,0.7758650173432697,0.6889065221028933,0.6249159910293847,0.5065371024734983,0.45,0.5043729913819293,0.1060070671378091,20.0,311.0,0.287284710577556,0.2476860731840133,0.4034341871738434,0.0004718915832069,0.0013917869655415,0.0692304745316505,0.2501370583307335,0.1701927483081817,0.813049082098336,283.0,-0.0123674911660777,0.0,0.0,283.0,0.150949026313885,0.0435196874961503,4.167336388254168,1.1559453811813512,283.0
satmae_pp,late,matryoshka,late_matryoshka_d2_perdim_aux1p0,2,1.0,0.60498046875,False,0.8274810910224915,True,0.7025484964162703,0.6368906471967845,0.7326177565914539,0.5426708074534162,0.5,0.5418583427140626,0.1453416149068323,20.0,311.0,0.3000114730426243,0.3110944330692291,0.3991858065128326,0.0001057194590186,0.0008162889862433,0.0574111863970756,0.3165762016595983,0.2632291913032532,0.7732760199794063,805.0,-0.026863354037267,0.0,0.0062111801242236,805.0,-0.0300692601751836,-0.030598733852115,4.594465706806926,0.729129204341243,805.0
satmae_pp,late,topk,late_topk_d1_perdim_aux1p0,1,1.0,0.3798828125,True,0.8243669867515564,True,0.6547299919214249,0.6379435333127449,0.720045529742791,0.544794952681388,0.5,0.5445977917981072,0.1514195583596214,20.0,311.0,0.2851463045392717,0.2949361205101013,0.4129524528980255,-4.600882708213509e-05,0.005008936394006,0.0702268406748771,0.3348333023452532,0.2768280506134033,0.805414323695004,634.0,-0.0203075709779179,0.0,0.0078864353312302,634.0,-0.0653155378213661,-0.0242385313674646,4.7126425602954285,0.6123456906456265,634.0
satmae_pp,middle,matryoshka,middle_matryoshka_d2_perdim_aux1p0,2,1.0,0.73681640625,False,0.8657242059707642,True,0.6404821577753909,0.6478234152814538,0.6809612024935773,0.5175373134328358,0.5,0.5179601867863588,0.1026119402985074,20.0,311.0,0.3161354128803526,0.3026582896709442,0.4759675860404968,0.0002943820449599,0.0004544680414255,0.0548083819448947,0.3340121365250905,0.2558071911334991,0.8538045353359647,536.0,-0.0205223880597014,0.0,0.003731343283582,536.0,-0.0404790447181864,0.0178715770865491,4.7329359588532975,0.6058354621374717,536.0
satmae_pp,middle,topk,middle_topk_d1_perdim_aux1p0,1,1.0,0.5390625,False,0.8644809722900391,True,0.6920223379267024,0.6343679820735008,0.6867478932190557,0.521292372881356,0.5,0.5218220338983051,0.1144067796610169,20.0,311.0,0.2984286248683929,0.2840149402618408,0.4606774449348449,0.0003912854693583,0.0033966663759201,0.0631198585033416,0.3565442514471647,0.2913285493850708,0.8623261501391729,472.0,-0.0145656779661016,0.0,0.0042372881355932,472.0,0.0052744447076467,0.0042933037994423,4.762288456751661,0.6285757177203163,472.0
